,Unnamed: 0,Name,TripAdvisorLink,status,pricestatus,adress,city,phone,email,website,rating,reviews,subcat,detail,Thuisbezorgd,TheFork
0,0,Indian Restaurant Swagat,https://www.tripadvisor.com/Restaurant_Review-g188590-d13230913-Reviews-Indian_Restaurant_Swagat-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Stadionweg 249 H, 1076 NX Amsterdam The Netherlands",Amsterdam,['+31 20 304 8444'],['surinder-k@outlook.com?'],N,4.5 ,53 reviews,"['Food']:['45'],['Service']:['45'],['Value']:['40'],","['PRICE RANGE']:['€10 - €25'],['CUISINES']:['Indian, Grill, Healthy, Soups, Medicinal foods'],['Special Diets']:['Vegetarian Friendly, Vegan Options'],",False,True
1,1,New-West Comfort Food,https://www.tripadvisor.com/Restaurant_Review-g188590-d21011173-Reviews-New_West_Comfort_Food-Amsterdam_North_Holland_Province.html, Claimed,$,"Willem Roelofsstraat 7-9, 1062TX Amsterdam The Netherlands",Amsterdam,['+31 6 13298979'],['newwestcomfortfood@gmail.com?'],http://www.newwestcomfortfood.nl/,N,N,N,"['CUISINES']:['Italian, American, European, Asian, Indonesian, South American'],['Meals']:['Lunch, Dinner, Drinks'],",True,False
2,2,Fou Fow,https://www.tripadvisor.com/Restaurant_Review-g188590-d19387264-Reviews-Fou_Fow-Amsterdam_North_Holland_Province.html, Unclaimed,Japanese,"Prinsengracht 411 H, 1016 HM Amsterdam The Netherlands",Amsterdam,['+31 20 341 5015'],[],https://foufow.nl/,N,N,N,"['CUISINES']:['Japanese'],",False,False
3,3,Diptych - Omakase Room,https://www.tripadvisor.com/Restaurant_Review-g188590-d17664536-Reviews-Diptych_Omakase_Room-Amsterdam_North_Holland_Province.html, Unclaimed,N,N,Amsterdam,N,['contact@diptych.xyz?'],http://diptych.xyz/,N,N,N,,False,False
4,4,lunchroom etenstijd,https://www.tripadvisor.com/Restaurant_Review-g188590-d5966610-Reviews-Lunchroom_etenstijd-Amsterdam_North_Holland_Province.html, Unclaimed,N,N,Amsterdam,N,N,N,N,N,N,,False,False
5,5,Anderz,https://www.tripadvisor.com/Restaurant_Review-g188590-d3600622-Reviews-Anderz-Amsterdam_North_Holland_Province.html, Unclaimed,French,"Mercatorplein 22, 1057 CC Amsterdam The Netherlands",Amsterdam,['+31 20 412 3315'],N,N,N,N,N,"['CUISINES']:['French'],['Meals']:['Lunch, Dinner'],",False,False
6,6,Palmyra Syrian Restaurant,https://www.tripadvisor.com/Restaurant_Review-g188590-d17762209-Reviews-Palmyra_Syrian_Restaurant-Amsterdam_North_Holland_Province.html, Claimed,$$ - $$$,"Nieuwezijds Voorburgwal 53H, 1012 RD Amsterdam The Netherlands",Amsterdam,['+31 6 18434863'],['palmyrasyrianrestaurant@gmail.com?'],http://www.palmyrasyrianrestaurant.com/,5.0 ,136 reviews,"['Food']:['50'],['Service']:['50'],['Value']:['45'],","['PRICE RANGE']:['€15 - €30'],['CUISINES']:['Lebanese, Middle Eastern, Arabic, Assyrian'],['Special Diets']:['Vegetarian Friendly, Vegan Options'],",True,False
7,7,Hansel And Gretel,https://www.tripadvisor.com/Restaurant_Review-g188590-d20316661-Reviews-Hansel_And_Gretel-Amsterdam_North_Holland_Province.html, Unclaimed,N,N,Amsterdam,N,[],http://hansengrietjeamsterdam.nl/,N,N,N,"['CUISINES']:['Bar, Cafe, Pub'],",False,False
8,8,BackWERK,https://www.tripadvisor.com/Restaurant_Review-g188590-d20314255-Reviews-BackWERK-Amsterdam_North_Holland_Province.html, Unclaimed,$,"Warmoesstraat 48-50, 1012 JE Amsterdam The Netherlands",Amsterdam,['+31 35 221 0001'],['info@back-werk.nl?'],http://www.back-werk.nl/,N,N,N,"['CUISINES']:['Dutch, European'],",False,False
9,9,Free Food Refugee Company b.v.,https://www.tripadvisor.com/Restaurant_Review-g188590-d12524336-Reviews-Free_Food_Refugee_Company_b_v-Amsterdam_North_Holland_Province.html, Unclaimed,$$ - $$$,"H.J.E Wenckebachweg 48 Bijlmerbajes, 1096 AN Amsterdam The Netherlands",Amsterdam,['+31 6 44551599'],['reservations@refugeecompany.com?'],http://www.abeautifulmess.nl/,N,N,N,"['PRICE RANGE']:['€5 - €20'],['CUISINES']:['Italian, French, American, Fusion, Arabic'],",False,False
